Value Added by Industry,,,
"Value Added by Industry
[Billions of dollars] Seasonally adjusted at annual rates",,,
"Last Revised on: June 29, 2023",,,
Line,,2022 (Q4),
1,        Gross domestic product,"26,138",
2,Private industries,"23,115",
3,"    Agriculture, forestry, fishing, and hunting",303,1%
6,    Mining,443,2%
10,    Utilities,451,2%
11,    Construction,"1,045",4%
12,    Manufacturing,"2,895",11%
34,    Wholesale trade,"1,649",6%
35,    Retail trade,"1,517",6%
40,    Transportation and warehousing,840,3%
49,    Information,"1,439",6%
54,"    Finance, insurance, real estate, rental, and leasing","5,234",20%
65,    Professional and business services,"3,418",13%
74,"    Educational services, health care, and social assistance","2,212",8%
81,"    Arts, entertainment, recreation, accommodation, and food services","1,124",4%
88,"    Other services, except government",547,2%
89,Government,"3,024",12%
90,    Federal,936,4%
95,    State and local,"2,088",8%
,    Addenda:,,
98,            Private goods-producing industries1,"4,685",18%
99,            Private services-producing industries2,"18,430",71%
,,,
Legend/Footnotes,,,
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing.",,,
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government.",,,
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services.",,,
Note. Detail may not add to total due to rounding.,,,
