Code,GeoFips,GeoName,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,NoteRef
SAINC1-3,00000,United States,2021,Dollars,0,64692,2
SAINC1-3,00000,United States,2023,Dollars,0,70002,2
SAINC1-3,00000,United States,2022,Dollars,0,66298,2
SAINC1-3,01000,Alabama,2022,Dollars,0,51697,2
SAINC1-3,01000,Alabama,2021,Dollars,0,50638,2
SAINC1-3,01000,Alabama,2023,Dollars,0,54612,2
SAINC1-3,02000,Alaska *,2021,Dollars,0,65803,2 *
SAINC1-3,02000,Alaska *,2023,Dollars,0,72398,2 *
SAINC1-3,02000,Alaska *,2022,Dollars,0,69160,2 *
SAINC1-3,04000,Arizona,2022,Dollars,0,59060,2
SAINC1-3,04000,Arizona,2021,Dollars,0,57175,2
SAINC1-3,04000,Arizona,2023,Dollars,0,63032,2
SAINC1-3,05000,Arkansas,2021,Dollars,0,53353,2
SAINC1-3,05000,Arkansas,2023,Dollars,0,56547,2
SAINC1-3,05000,Arkansas,2022,Dollars,0,53709,2
SAINC1-3,06000,California,2022,Dollars,0,77196,2
SAINC1-3,06000,California,2021,Dollars,0,77134,2
SAINC1-3,06000,California,2023,Dollars,0,81196,2
SAINC1-3,08000,Colorado,2021,Dollars,0,71928,2
SAINC1-3,08000,Colorado,2023,Dollars,0,80169,2
SAINC1-3,08000,Colorado,2022,Dollars,0,76685,2
SAINC1-3,09000,Connecticut,2022,Dollars,0,85411,2
SAINC1-3,09000,Connecticut,2021,Dollars,0,82152,2
SAINC1-3,09000,Connecticut,2023,Dollars,0,90235,2
SAINC1-3,10000,Delaware,2021,Dollars,0,59873,2
SAINC1-3,10000,Delaware,2023,Dollars,0,64591,2
SAINC1-3,10000,Delaware,2022,Dollars,0,64066,2
SAINC1-3,11000,District of Columbia,2022,Dollars,0,100849,2
SAINC1-3,11000,District of Columbia,2021,Dollars,0,98143,2
SAINC1-3,11000,District of Columbia,2023,Dollars,0,106640,2
SAINC1-3,12000,Florida,2021,Dollars,0,62617,2
SAINC1-3,12000,Florida,2023,Dollars,0,70057,2
SAINC1-3,12000,Florida,2022,Dollars,0,65429,2
SAINC1-3,13000,Georgia,2022,Dollars,0,57396,2
SAINC1-3,13000,Georgia,2021,Dollars,0,56262,2
SAINC1-3,13000,Georgia,2023,Dollars,0,60006,2
SAINC1-3,15000,Hawaii *,2021,Dollars,0,61264,2 *
SAINC1-3,15000,Hawaii *,2023,Dollars,0,67269,2 *
SAINC1-3,15000,Hawaii *,2022,Dollars,0,63184,2 *
SAINC1-3,16000,Idaho,2022,Dollars,0,57034,2
SAINC1-3,16000,Idaho,2021,Dollars,0,55603,2
SAINC1-3,16000,Idaho,2023,Dollars,0,59201,2
SAINC1-3,17000,Illinois,2021,Dollars,0,66866,2
SAINC1-3,17000,Illinois,2023,Dollars,0,71761,2
SAINC1-3,17000,Illinois,2022,Dollars,0,68044,2
SAINC1-3,18000,Indiana,2023,Dollars,0,61386,2
SAINC1-3,18000,Indiana,2022,Dollars,0,58671,2
SAINC1-3,18000,Indiana,2021,Dollars,0,57374,2
SAINC1-3,19000,Iowa,2022,Dollars,0,61209,2
SAINC1-3,19000,Iowa,2021,Dollars,0,58250,2
SAINC1-3,19000,Iowa,2023,Dollars,0,62688,2
SAINC1-3,20000,Kansas,2023,Dollars,0,63513,2
SAINC1-3,20000,Kansas,2022,Dollars,0,61875,2
SAINC1-3,20000,Kansas,2021,Dollars,0,59209,2
SAINC1-3,21000,Kentucky,2021,Dollars,0,51938,2
SAINC1-3,21000,Kentucky,2023,Dollars,0,55667,2
SAINC1-3,21000,Kentucky,2022,Dollars,0,52629,2
SAINC1-3,22000,Louisiana,2022,Dollars,0,55384,2
SAINC1-3,22000,Louisiana,2021,Dollars,0,55120,2
SAINC1-3,22000,Louisiana,2023,Dollars,0,58996,2
SAINC1-3,23000,Maine,2021,Dollars,0,59384,2
SAINC1-3,23000,Maine,2023,Dollars,0,65447,2
SAINC1-3,23000,Maine,2022,Dollars,0,61617,2
SAINC1-3,24000,Maryland,2022,Dollars,0,70781,2
SAINC1-3,24000,Maryland,2021,Dollars,0,69231,2
SAINC1-3,24000,Maryland,2023,Dollars,0,75476,2
SAINC1-3,25000,Massachusetts,2021,Dollars,0,84087,2
SAINC1-3,25000,Massachusetts,2023,Dollars,0,89947,2
SAINC1-3,25000,Massachusetts,2022,Dollars,0,85441,2
SAINC1-3,26000,Michigan,2022,Dollars,0,58012,2
SAINC1-3,26000,Michigan,2021,Dollars,0,57090,2
SAINC1-3,26000,Michigan,2023,Dollars,0,61206,2
SAINC1-3,27000,Minnesota,2021,Dollars,0,67676,2
SAINC1-3,27000,Minnesota,2023,Dollars,0,72673,2
SAINC1-3,27000,Minnesota,2022,Dollars,0,69539,2
SAINC1-3,28000,Mississippi,2022,Dollars,0,46984,2
SAINC1-3,28000,Mississippi,2021,Dollars,0,47041,2
SAINC1-3,28000,Mississippi,2023,Dollars,0,49661,2
SAINC1-3,29000,Missouri,2021,Dollars,0,56907,2
SAINC1-3,29000,Missouri,2023,Dollars,0,62435,2
SAINC1-3,29000,Missouri,2022,Dollars,0,58525,2
SAINC1-3,30000,Montana,2022,Dollars,0,62086,2
SAINC1-3,30000,Montana,2021,Dollars,0,59230,2
SAINC1-3,30000,Montana,2023,Dollars,0,66181,2
SAINC1-3,31000,Nebraska,2021,Dollars,0,63658,2
SAINC1-3,31000,Nebraska,2023,Dollars,0,71517,2
SAINC1-3,31000,Nebraska,2022,Dollars,0,66365,2
SAINC1-3,32000,Nevada,2023,Dollars,0,66698,2
SAINC1-3,32000,Nevada,2022,Dollars,0,62726,2
SAINC1-3,32000,Nevada,2021,Dollars,0,61031,2
SAINC1-3,33000,New Hampshire,2021,Dollars,0,73982,2
SAINC1-3,33000,New Hampshire,2023,Dollars,0,79267,2
SAINC1-3,33000,New Hampshire,2022,Dollars,0,75329,2
SAINC1-3,34000,New Jersey,2023,Dollars,0,81584,2
SAINC1-3,34000,New Jersey,2022,Dollars,0,77443,2
SAINC1-3,34000,New Jersey,2021,Dollars,0,76307,2
SAINC1-3,35000,New Mexico,2021,Dollars,0,50854,2
SAINC1-3,35000,New Mexico,2023,Dollars,0,55457,2
SAINC1-3,35000,New Mexico,2022,Dollars,0,53116,2
SAINC1-3,36000,New York,2022,Dollars,0,77461,2
SAINC1-3,36000,New York,2021,Dollars,0,76360,2
SAINC1-3,36000,New York,2023,Dollars,0,81932,2
SAINC1-3,37000,North Carolina,2021,Dollars,0,57233,2
SAINC1-3,37000,North Carolina,2023,Dollars,0,62233,2
SAINC1-3,37000,North Carolina,2022,Dollars,0,59092,2
SAINC1-3,38000,North Dakota,2022,Dollars,0,71011,2
SAINC1-3,38000,North Dakota,2021,Dollars,0,66158,2
SAINC1-3,38000,North Dakota,2023,Dollars,0,71545,2
SAINC1-3,39000,Ohio,2021,Dollars,0,57508,2
SAINC1-3,39000,Ohio,2023,Dollars,0,61740,2
SAINC1-3,39000,Ohio,2022,Dollars,0,58236,2
SAINC1-3,40000,Oklahoma,2022,Dollars,0,57916,2
