Code,GeoFips,GeoName,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,NoteRef
SQGDP2-1,00000,United States *,2017Q3,Millions of current dollars,6,19692595.0,*
SQGDP2-1,00000,United States *,2012Q1,Millions of current dollars,6,16068805.0,*
SQGDP2-1,00000,United States *,2011Q4,Millions of current dollars,6,15842259.0,*
SQGDP2-1,00000,United States *,2011Q3,Millions of current dollars,6,15647680.0,*
SQGDP2-1,00000,United States *,2011Q2,Millions of current dollars,6,15557539.0,*
SQGDP2-1,00000,United States *,2011Q1,Millions of current dollars,6,15351448.0,*
SQGDP2-1,00000,United States *,2010Q4,Millions of current dollars,6,15309474.0,*
SQGDP2-1,00000,United States *,2010Q3,Millions of current dollars,6,15141607.0,*
SQGDP2-1,00000,United States *,2010Q2,Millions of current dollars,6,14980193.0,*
SQGDP2-1,00000,United States *,2010Q1,Millions of current dollars,6,14764610.0,*
SQGDP2-1,00000,United States *,2017Q2,Millions of current dollars,6,19438643.0,*
SQGDP2-1,00000,United States *,2017Q1,Millions of current dollars,6,19280084.0,*
SQGDP2-1,00000,United States *,2016Q4,Millions of current dollars,6,19089379.0,*
SQGDP2-1,00000,United States *,2016Q3,Millions of current dollars,6,18892639.0,*
SQGDP2-1,00000,United States *,2016Q2,Millions of current dollars,6,18711702.0,*
SQGDP2-1,00000,United States *,2016Q1,Millions of current dollars,6,18525933.0,*
SQGDP2-1,00000,United States *,2015Q4,Millions of current dollars,6,18435137.0,*
SQGDP2-1,00000,United States *,2015Q3,Millions of current dollars,6,18401626.0,*
SQGDP2-1,00000,United States *,2015Q2,Millions of current dollars,6,18279784.0,*
SQGDP2-1,00000,United States *,2015Q1,Millions of current dollars,6,18063529.0,*
SQGDP2-1,00000,United States *,2014Q4,Millions of current dollars,6,17912079.0,*
SQGDP2-1,00000,United States *,2014Q3,Millions of current dollars,6,17804228.0,*
SQGDP2-1,00000,United States *,2014Q2,Millions of current dollars,6,17518508.0,*
SQGDP2-1,00000,United States *,2014Q1,Millions of current dollars,6,17197738.0,*
SQGDP2-1,00000,United States *,2013Q4,Millions of current dollars,6,17192019.0,*
SQGDP2-1,00000,United States *,2013Q3,Millions of current dollars,6,16953838.0,*
SQGDP2-1,00000,United States *,2013Q2,Millions of current dollars,6,16728687.0,*
SQGDP2-1,00000,United States *,2013Q1,Millions of current dollars,6,16648189.0,*
SQGDP2-1,00000,United States *,2012Q4,Millions of current dollars,6,16420419.0,*
SQGDP2-1,00000,United States *,2012Q3,Millions of current dollars,6,16319541.0,*
SQGDP2-1,00000,United States *,2012Q2,Millions of current dollars,6,16207115.0,*
SQGDP2-1,00000,United States *,2023Q4,Millions of current dollars,6,28424722.0,*
SQGDP2-1,00000,United States *,2023Q3,Millions of current dollars,6,28074846.0,*
SQGDP2-1,00000,United States *,2023Q2,Millions of current dollars,6,27530055.0,*
SQGDP2-1,00000,United States *,2023Q1,Millions of current dollars,6,27216445.0,*
SQGDP2-1,00000,United States *,2022Q4,Millions of current dollars,6,26770514.0,*
SQGDP2-1,00000,United States *,2022Q3,Millions of current dollars,6,26336304.0,*
SQGDP2-1,00000,United States *,2022Q2,Millions of current dollars,6,25861292.0,*
SQGDP2-1,00000,United States *,2022Q1,Millions of current dollars,6,25250347.0,*
SQGDP2-1,00000,United States *,2021Q4,Millions of current dollars,6,24813600.0,*
SQGDP2-1,00000,United States *,2021Q3,Millions of current dollars,6,23982379.0,*
SQGDP2-1,00000,United States *,2021Q2,Millions of current dollars,6,23425910.0,*
SQGDP2-1,00000,United States *,2021Q1,Millions of current dollars,6,22680693.0,*
SQGDP2-1,00000,United States *,2020Q4,Millions of current dollars,6,22087160.0,*
SQGDP2-1,00000,United States *,2020Q3,Millions of current dollars,6,21704437.0,*
SQGDP2-1,00000,United States *,2020Q2,Millions of current dollars,6,19958291.0,*
SQGDP2-1,00000,United States *,2020Q1,Millions of current dollars,6,21751238.0,*
SQGDP2-1,00000,United States *,2019Q4,Millions of current dollars,6,21933217.0,*
SQGDP2-1,00000,United States *,2019Q3,Millions of current dollars,6,21717171.0,*
SQGDP2-1,00000,United States *,2019Q2,Millions of current dollars,6,21397938.0,*
SQGDP2-1,00000,United States *,2019Q1,Millions of current dollars,6,21111600.0,*
SQGDP2-1,00000,United States *,2018Q4,Millions of current dollars,6,20917867.0,*
SQGDP2-1,00000,United States *,2018Q3,Millions of current dollars,6,20798730.0,*
SQGDP2-1,00000,United States *,2018Q2,Millions of current dollars,6,20580912.0,*
SQGDP2-1,00000,United States *,2018Q1,Millions of current dollars,6,20328553.0,*
SQGDP2-1,00000,United States *,2017Q4,Millions of current dollars,6,20037088.0,*
SQGDP2-1,01000,Alabama,2018Q3,Millions of current dollars,6,226627.4,
SQGDP2-1,01000,Alabama,2018Q2,Millions of current dollars,6,225398.8,
SQGDP2-1,01000,Alabama,2012Q2,Millions of current dollars,6,189100.7,
SQGDP2-1,01000,Alabama,2012Q1,Millions of current dollars,6,187413.6,
SQGDP2-1,01000,Alabama,2011Q4,Millions of current dollars,6,186299.8,
SQGDP2-1,01000,Alabama,2011Q3,Millions of current dollars,6,183751.1,
SQGDP2-1,01000,Alabama,2011Q2,Millions of current dollars,6,181660.2,
SQGDP2-1,01000,Alabama,2011Q1,Millions of current dollars,6,179875.7,
SQGDP2-1,01000,Alabama,2010Q4,Millions of current dollars,6,180569.0,
SQGDP2-1,01000,Alabama,2010Q3,Millions of current dollars,6,180096.6,
SQGDP2-1,01000,Alabama,2010Q2,Millions of current dollars,6,176268.0,
SQGDP2-1,01000,Alabama,2010Q1,Millions of current dollars,6,173109.4,
SQGDP2-1,01000,Alabama,2018Q1,Millions of current dollars,6,223670.1,
SQGDP2-1,01000,Alabama,2017Q4,Millions of current dollars,6,220411.9,
SQGDP2-1,01000,Alabama,2017Q3,Millions of current dollars,6,216841.7,
SQGDP2-1,01000,Alabama,2017Q2,Millions of current dollars,6,215066.6,
SQGDP2-1,01000,Alabama,2017Q1,Millions of current dollars,6,214141.7,
SQGDP2-1,01000,Alabama,2016Q4,Millions of current dollars,6,211516.7,
SQGDP2-1,01000,Alabama,2016Q3,Millions of current dollars,6,209418.5,
SQGDP2-1,01000,Alabama,2016Q2,Millions of current dollars,6,208578.1,
SQGDP2-1,01000,Alabama,2016Q1,Millions of current dollars,6,205783.7,
SQGDP2-1,01000,Alabama,2015Q4,Millions of current dollars,6,204676.1,
SQGDP2-1,01000,Alabama,2015Q3,Millions of current dollars,6,204848.2,
SQGDP2-1,01000,Alabama,2015Q2,Millions of current dollars,6,202898.3,
SQGDP2-1,01000,Alabama,2015Q1,Millions of current dollars,6,200030.7,
SQGDP2-1,01000,Alabama,2014Q4,Millions of current dollars,6,199845.9,
SQGDP2-1,01000,Alabama,2014Q3,Millions of current dollars,6,199021.2,
SQGDP2-1,01000,Alabama,2014Q2,Millions of current dollars,6,196536.8,
SQGDP2-1,01000,Alabama,2014Q1,Millions of current dollars,6,192853.7,
SQGDP2-1,01000,Alabama,2013Q4,Millions of current dollars,6,194771.3,
SQGDP2-1,01000,Alabama,2013Q3,Millions of current dollars,6,195099.9,
SQGDP2-1,01000,Alabama,2013Q2,Millions of current dollars,6,192936.0,
SQGDP2-1,01000,Alabama,2013Q1,Millions of current dollars,6,193119.0,
SQGDP2-1,01000,Alabama,2012Q4,Millions of current dollars,6,188559.5,
SQGDP2-1,01000,Alabama,2012Q3,Millions of current dollars,6,188049.1,
SQGDP2-1,01000,Alabama,2023Q4,Millions of current dollars,6,316762.5,
SQGDP2-1,01000,Alabama,2023Q3,Millions of current dollars,6,311886.5,
SQGDP2-1,01000,Alabama,2023Q2,Millions of current dollars,6,306125.1,
SQGDP2-1,01000,Alabama,2023Q1,Millions of current dollars,6,303401.1,
SQGDP2-1,01000,Alabama,2022Q4,Millions of current dollars,6,297750.9,
SQGDP2-1,01000,Alabama,2022Q3,Millions of current dollars,6,290628.5,
SQGDP2-1,01000,Alabama,2022Q2,Millions of current dollars,6,283437.8,
SQGDP2-1,01000,Alabama,2022Q1,Millions of current dollars,6,275676.2,
SQGDP2-1,01000,Alabama,2021Q4,Millions of current dollars,6,270284.0,
SQGDP2-1,01000,Alabama,2021Q3,Millions of current dollars,6,261854.0,
SQGDP2-1,01000,Alabama,2021Q2,Millions of current dollars,6,257543.4,
SQGDP2-1,01000,Alabama,2021Q1,Millions of current dollars,6,251618.7,
SQGDP2-1,01000,Alabama,2020Q4,Millions of current dollars,6,243428.9,
SQGDP2-1,01000,Alabama,2020Q3,Millions of current dollars,6,241862.0,
SQGDP2-1,01000,Alabama,2020Q2,Millions of current dollars,6,219969.5,
SQGDP2-1,01000,Alabama,2020Q1,Millions of current dollars,6,238175.6,
SQGDP2-1,01000,Alabama,2019Q4,Millions of current dollars,6,238176.2,
SQGDP2-1,01000,Alabama,2019Q3,Millions of current dollars,6,236371.8,
SQGDP2-1,01000,Alabama,2019Q2,Millions of current dollars,6,233386.0,
SQGDP2-1,01000,Alabama,2019Q1,Millions of current dollars,6,231258.9,
SQGDP2-1,01000,Alabama,2018Q4,Millions of current dollars,6,229358.8,
SQGDP2-1,02000,Alaska,2018Q2,Millions of current dollars,6,54573.2,
SQGDP2-1,02000,Alaska,2012Q2,Millions of current dollars,6,58601.3,
SQGDP2-1,02000,Alaska,2012Q1,Millions of current dollars,6,58428.1,
SQGDP2-1,02000,Alaska,2011Q4,Millions of current dollars,6,58912.8,
SQGDP2-1,02000,Alaska,2011Q3,Millions of current dollars,6,57092.0,
SQGDP2-1,02000,Alaska,2011Q2,Millions of current dollars,6,56987.5,
SQGDP2-1,02000,Alaska,2011Q1,Millions of current dollars,6,54656.9,
SQGDP2-1,02000,Alaska,2010Q4,Millions of current dollars,6,54953.2,
SQGDP2-1,02000,Alaska,2010Q3,Millions of current dollars,6,54340.2,
SQGDP2-1,02000,Alaska,2010Q2,Millions of current dollars,6,53222.9,
SQGDP2-1,02000,Alaska,2010Q1,Millions of current dollars,6,52099.5,
SQGDP2-1,02000,Alaska,2018Q1,Millions of current dollars,6,54542.5,
SQGDP2-1,02000,Alaska,2017Q4,Millions of current dollars,6,54202.1,
SQGDP2-1,02000,Alaska,2017Q3,Millions of current dollars,6,53782.4,
SQGDP2-1,02000,Alaska,2017Q2,Millions of current dollars,6,53127.9,
SQGDP2-1,02000,Alaska,2017Q1,Millions of current dollars,6,53091.3,
SQGDP2-1,02000,Alaska,2016Q4,Millions of current dollars,6,52121.2,
SQGDP2-1,02000,Alaska,2016Q3,Millions of current dollars,6,51346.5,
SQGDP2-1,02000,Alaska,2016Q2,Millions of current dollars,6,50897.0,
SQGDP2-1,02000,Alaska,2016Q1,Millions of current dollars,6,50122.5,
SQGDP2-1,02000,Alaska,2015Q4,Millions of current dollars,6,50645.2,
SQGDP2-1,02000,Alaska,2015Q3,Millions of current dollars,6,51256.2,
SQGDP2-1,02000,Alaska,2015Q2,Millions of current dollars,6,52180.8,
SQGDP2-1,02000,Alaska,2015Q1,Millions of current dollars,6,52214.6,
SQGDP2-1,02000,Alaska,2014Q4,Millions of current dollars,6,55026.2,
SQGDP2-1,02000,Alaska,2014Q3,Millions of current dollars,6,56794.9,
SQGDP2-1,02000,Alaska,2014Q2,Millions of current dollars,6,57404.2,
SQGDP2-1,02000,Alaska,2014Q1,Millions of current dollars,6,57124.3,
SQGDP2-1,02000,Alaska,2013Q4,Millions of current dollars,6,56954.9,
SQGDP2-1,02000,Alaska,2013Q3,Millions of current dollars,6,58175.3,
SQGDP2-1,02000,Alaska,2013Q2,Millions of current dollars,6,56886.2,
SQGDP2-1,02000,Alaska,2013Q1,Millions of current dollars,6,58115.4,
SQGDP2-1,02000,Alaska,2012Q4,Millions of current dollars,6,57835.7,
SQGDP2-1,02000,Alaska,2012Q3,Millions of current dollars,6,58417.5,
SQGDP2-1,02000,Alaska,2023Q4,Millions of current dollars,6,70155.5,
SQGDP2-1,02000,Alaska,2023Q3,Millions of current dollars,6,69247.1,
SQGDP2-1,02000,Alaska,2023Q2,Millions of current dollars,6,67092.0,
SQGDP2-1,02000,Alaska,2023Q1,Millions of current dollars,6,66436.1,
SQGDP2-1,02000,Alaska,2022Q4,Millions of current dollars,6,66051.8,
SQGDP2-1,02000,Alaska,2022Q3,Millions of current dollars,6,66717.0,
SQGDP2-1,02000,Alaska,2022Q2,Millions of current dollars,6,66997.1,
SQGDP2-1,02000,Alaska,2022Q1,Millions of current dollars,6,62964.0,
SQGDP2-1,02000,Alaska,2021Q4,Millions of current dollars,6,63418.4,
SQGDP2-1,02000,Alaska,2021Q3,Millions of current dollars,6,59941.0,
SQGDP2-1,02000,Alaska,2021Q2,Millions of current dollars,6,57924.1,
SQGDP2-1,02000,Alaska,2021Q1,Millions of current dollars,6,56168.6,
SQGDP2-1,02000,Alaska,2020Q4,Millions of current dollars,6,53976.4,
SQGDP2-1,02000,Alaska,2020Q3,Millions of current dollars,6,51302.0,
SQGDP2-1,02000,Alaska,2020Q2,Millions of current dollars,6,48114.3,
SQGDP2-1,02000,Alaska,2020Q1,Millions of current dollars,6,54054.1,
SQGDP2-1,02000,Alaska,2019Q4,Millions of current dollars,6,55091.6,
SQGDP2-1,02000,Alaska,2019Q3,Millions of current dollars,6,54946.3,
SQGDP2-1,02000,Alaska,2019Q2,Millions of current dollars,6,54126.1,
SQGDP2-1,02000,Alaska,2019Q1,Millions of current dollars,6,54034.3,
SQGDP2-1,02000,Alaska,2018Q4,Millions of current dollars,6,54912.1,
SQGDP2-1,02000,Alaska,2018Q3,Millions of current dollars,6,55020.0,
SQGDP2-1,04000,Arizona,2018Q3,Millions of current dollars,6,355997.6,
SQGDP2-1,04000,Arizona,2018Q2,Millions of current dollars,6,351465.3,
SQGDP2-1,04000,Arizona,2012Q2,Millions of current dollars,6,273041.3,
SQGDP2-1,04000,Arizona,2012Q1,Millions of current dollars,6,270794.5,
SQGDP2-1,04000,Arizona,2011Q4,Millions of current dollars,6,268002.9,
